"ID","Purchase-date","Date","Time","Quarter","Qtr","Year","Month","Date","Special Day","Online Sale Offers ","Day","Weekend","Morning","Afternoon","Evening","Night","Gender","Customer ID","Gender
F=1665
M=1815","Product-Name","Item-Status","Quantity","Currency","Item Price","Shipping-Price","Ship-City","Ship-State","Ship-Postal-Code","Category","Total_
amount","Author ","Publication","Profit Percentage
 (%)","Profit (INR)","Cost Price","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","2018-01-01T08:57:53+00:00","1/1/2018","8:57 AM","2018 - Q1","1","2018","1","1","1","1","1","0","1","0","0","0","1","B07FWXWZT","F","Database System Concepts (Int'l Ed)","Shipped","1","INR","999","85","Hyderabad","Telangana","500073","college","1084","Avi Silberschatz","McGraw-Hill","13","129.87","869.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2018-01-02T02:04:01+00:00","1/2/2018","2:04 AM","2018 - Q1","1","2018","1","2","1","1","2","0","0","0","0","1","0","B07FWVXXU","M","ESE 2020 Mains Examination: Electrical Engineering - Conventional Solved Papers - Paper - 2","Shipped","1","INR","640","85","DHARMAPURI","TAMIL NADU","636701","competition ","725","Team of Engineers Academy"," Engineers Academy Publication","17","108.8","531.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","2018-01-03T05:08:38+00:00","1/3/2018","5:08 AM","2018 - Q1","1","2018","1","3","1","1","3","0","0","0","0","1","0","B07FWVXZS","M","Objective Type Pharmacy","Shipped","1","INR","715","85","GUWAHATI","ASSAM","781024","competition ","800","Dr. mohammed Ali","BHUTERAENTERPRISES","17","121.55","593.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","2018-01-04T16:06:31+00:00","1/4/2018","4:06 PM","2018 - Q1","1","2018","1","4","0","1","4","0","0","0","1","0","1","B07FWYXVQ","F","A Text Book of Optics","Shipped","1","INR","565","85","Palani","TAMIL NADU","624601","college","650","N Subrahmanyam","S. Chand Publishing","13","73.45","491.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","2018-01-04T20:12:20+00:00","1/4/2018","8:12 PM","2018 - Q1","1","2018","1","4","0","0","4","0","0","0","0","1","1","B07FWXATQ","F","Surveying - Vol. 2","Shipped","1","INR","494","85","PATNA","BIHAR","800013","college","579","Duggal ","McGraw Hill Education","13","64.22","429.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","2018-01-05T02:25:47+00:00","1/5/2018","2:25 AM","2018 - Q1","1","2018","1","5","0","0","5","0","0","0","0","1","0","B07FWYYRZ","M","Political Theory","Shipped","1","INR","425","85","Dehradun","Uttarakhand","248001","college","510","Dr. Mohinder Slariya ","S. Vinesh & Co","13","55.25","369.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","2018-01-05T02:59:18+00:00","1/5/2018","2:59 AM","2018 - Q1","1","2018","1","5","0","0","5","0","0","0","0","1","0","B07FWYSTS","M","A Text Book of Optics","Shipped","1","INR","565","85","BHAWANIPATNA","ODISHA","766001","college","650","N Subrahmanyam","S. Chand Publishing","13","73.45","491.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","2018-01-05T10:46:03+00:00","1/5/2018","10:46 AM","2018 - Q1","1","2018","1","5","0","0","5","0","1","0","0","0","1","B07FWXVTV","F","A Text Book of Optics","Shipped","1","INR","565","85","Bongaigaon","ASSAM","783380","college","650","N Subrahmanyam","S. Chand Publishing","13","73.45","491.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","2018-01-06T03:11:27+00:00","1/6/2018","3:11 AM","2018 - Q1","1","2018","1","6","0","0","6","1","0","0","0","1","0","B07FWWTVV","M","39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Mathematics","Shipped","1","INR","200","85","DIPKA","CHHATTISGARH","495452","competition ","285"," Amit M Agarwal"," Arihant  (Publication)","17","34","166","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","2018-01-06T05:30:58+00:00","1/6/2018","5:30 AM","2018 - Q1","1","2018","1","6","0","0","6","1","0","0","0","1","1","B07FWXSXU","F","ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1","Shipped","1","INR","610","85","THIRUVANANTHAPURAM","KERALA","695015","competition ","695","T K V Iyengar","ZONE TECH Publications ","17","103.7","506.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","2018-01-06T06:28:38+00:00","1/6/2018","6:28 AM","2018 - Q1","1","2018","1","6","0","0","6","1","1","0","0","0","0","B07FWXSVW","M","A Textbook of Microbiology","Shipped","1","INR","543","85","MAUNATH BHANJAN","UTTAR PRADESH","275103","college","628","D. K. Maheshwari"," Arise Publishers & Distributors ","13","70.59","472.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","2018-01-06T13:52:09+00:00","1/6/2018","1:52 PM","2018 - Q1","1","2018","1","6","0","0","6","1","0","1","0","0","0","B07FWYXQQ","M","A Textbook of Microbiology","Shipped","1","INR","543","85","DHARMANAGAR","TRIPURA","799250","college","628","D. K. Maheshwari"," Arise Publishers & Distributors ","13","70.59","472.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
